Mem,MHz,Mode,Step,Offset,Duplex,TSQL,CTCSS,DCS,Polarity,Skip,Bank,Ch,Label
85,15.56500,AM,5,,,,88.5,023,n,,A,85,"BE/MAD"
86,15.58000,AM,5,,,,88.5,023,n,,A,86,"VOA-4"
87,15.60000,AM,5,,,,88.5,023,n,,A,87,"TAIW-2"
88,15.61500,AM,5,,,,88.5,023,n,,A,88,"ISRAEL"
89,15.66000,AM,5,,,,88.5,023,n,,A,89,"GUAM"
90,17.58000,AM,5,,,,88.5,023,n,,A,90,"AUSTR1"
91,17.67000,AM,5,,,,88.5,023,n,,A,91,"FINLAN"
92,17.70500,AM,5,,,,88.5,023,n,,A,92,"GREECE"
93,17.72000,AM,5,,,,88.5,023,n,,A,93,"CHIN-2"
94,17.76500,AM,5,,,,88.5,023,n,,A,94,"RUSS-3"
95,17.85000,AM,5,,,,88.5,023,n,,A,95,"FRAN-2"
96,17.87000,AM,5,,,,88.5,023,n,,A,96,"CAN/SA"
97,18.96000,AM,5,,,,88.5,023,n,,A,97,"SWED-2"
98,21.59000,AM,5,,,,88.5,023,n,,A,98,"NETH-2"
99,21.60500,AM,5,,,,88.5,023,n,,A,99,"UAE-2"
